distance,altitude
3150.8,725.0
3154.9,725.4
3159.4,725.7
3162.5,725.7
3165.7,725.7
3170.0,725.9
3174.3,726.2
3177.3,726.5
3180.4,726.8
3184.6,727.2
3187.6,727.5
3191.8,727.7
3194.9,727.9
3199.4,728.3
3202.4,728.7
3206.7,729.0
3209.7,729.0
3213.1,729.0
3216.2,729.0
3219.2,729.0
3222.4,729.5
3226.6,730.3
3229.8,730.8
3232.9,731.2
3236.3,731.6
3240.7,732.5
3244.9,733.6
3248.0,734.2
3252.5,734.9
3256.3,735.4
3260.3,735.8
3263.9,736.3
3267.2,736.9
3270.8,737.4
3274.5,737.7
3277.7,737.9
3280.8,738.2
3284.3,738.5
3288.2,738.8
3292.0,739.1
3295.4,739.4
3298.7,739.6
3302.1,739.8
3305.2,739.9
3308.3,740.0
3312.1,740.1
3316.1,740.2
3320.0,740.4
3323.3,740.6
3326.5,740.7
3329.7,741.1
3332.9,741.6
3336.7,742.1
3339.8,742.4
3343.7,742.8
3347.1,743.1
3351.0,743.5
3354.4,743.7
3358.2,744.0
3361.8,744.3
3365.0,744.5
3368.2,744.7
3371.7,744.7
3375.0,744.8
3378.6,744.9
3381.7,745.0
3385.2,745.0
3388.6,745.0
3392.6,745.1
3396.3,745.2
3400.2,745.3
3404.4,745.5
3408.6,745.7
3412.1,745.9
3416.4,746.1
3420.3,746.3
3424.0,746.5
3428.0,746.6
3431.3,746.8
3434.8,746.9
3438.2,747.0
3442.0,747.2
3445.3,747.3
3448.7,747.6
3452.2,748.0
3455.6,748.4
3459.8,749.0
3464.1,749.7
3467.5,750.2
3470.8,750.5
3474.8,750.8
3477.8,751.1
3481.2,751.4
3484.6,751.7
3488.9,751.9
3492.0,752.0
3496.7,752.0
3500.7,752.4
3505.0,752.6
3508.4,752.7
3512.9,752.8
3516.0,753.0
3519.4,753.1
3522.9,753.2
3526.5,753.3
3529.6,753.5
3533.1,753.6
3536.7,753.7
3540.1,753.8
3544.4,754.0
3547.5,754.1
3551.1,754.3
3554.2,754.4
3558.0,754.5
3561.9,754.7
3566.0,755.1
3569.6,755.4
3573.7,755.8
3577.7,756.3
3581.8,756.6
3586.0,756.9
3589.9,757.0
3594.2,757.0
3597.4,757.0
3600.4,757.0
3604.7,757.0
3608.8,757.0
3613.0,757.0
3617.0,757.0
3621.2,757.0
3625.4,757.0
3628.5,757.0
3631.6,757.0
3634.6,757.2
3638.1,757.7
3641.8,758.2
3645.5,758.7
3649.5,759.2
3653.4,759.7
3656.7,760.2
3659.8,760.6
3663.4,761.1
3666.9,761.6
3670.3,762.0
3674.3,762.6
3678.7,763.0
3682.1,763.0
3685.4,763.0
3688.7,763.1
3691.9,762.9
3696.3,762.6
3700.4,762.3
3704.0,762.1
3708.2,761.8
3712.9,761.6
3716.0,761.4
3720.3,761.2
3723.3,761.0
3726.6,760.8
3730.8,760.6
3733.8,760.6
3736.9,760.5
3740.7,760.4
3744.5,760.4
3747.5,760.3
3751.6,760.2
3754.8,760.1
3758.3,760.8
3761.9,761.5
3765.0,761.8
3769.2,762.3
3772.2,762.6
3775.3,762.7
3778.4,762.8
3782.6,763.0
3786.5,763.0
3790.4,763.2
3794.8,763.8
3799.2,764.2
3802.4,763.9
3805.5,763.7
3809.7,763.3
3812.7,763.0
3816.5,762.7
3819.6,762.4
3824.1,762.0
3827.2,762.1
3831.5,762.5
3835.0,762.8
3838.4,762.4
3841.7,762.5
3844.9,762.6
3848.4,762.7
3852.5,762.9
3856.7,763.3
3859.8,763.8
3863.6,764.0
3867.5,763.9
3870.9,764.0
3875.0,764.7
3879.0,765.3
3883.3,765.2
3887.6,765.2
3891.8,765.3
3895.9,765.5
3900.2,766.0
3904.1,766.5
3908.4,766.6
3912.1,766.5
3915.2,766.7
3919.0,767.4
3922.0,768.0
3926.2,767.9
3930.6,767.4
3935.0,767.2
3939.3,767.5
3943.4,767.8
3947.5,768.6
3950.7,769.2
3953.8,769.5
3957.2,769.3
3960.9,769.1
3964.5,769.1
3967.9,769.5
3971.3,769.9
3975.3,770.2
